sample_id	donor_rrid_ref	study_accession	library_chemistry	library_prep_kit	sequencing_platform	alignment_tool	reference_genome	cellranger_version	n_cells	mean_umi_count_per_cell	mean_genes_per_cell	mean_total_reads_per_cell	mean_uniquely_mapped_reads_per_cell	mean_secondary_alignments_per_cell	mean_supplementary_alignments_per_cell	mean_cellbender_cell_probability	mean_post_cellbender_umis_per_cell	mean_pct_cellbender_removed	mean_pct_mitochondrial_reads
HP-21070-01__DHT_10nM	HP-21070-01	GSE201256	V3							25005.04644549763	4801.116587677725	61224.75134281201	56518.912480252766	6555.0240126382305	0.0	0.9999732079852437	26909.722590837282	4.988701472001868	4.624915078623012
HP-21070-01__EtOH	HP-21070-01	GSE201256	V3							28827.576462538487	5470.315429353404	68973.70201847417	63497.23297981526	7499.778994184057	0.0	0.999978722671185	31262.82175846733	6.108733256575563	7.53610193460816
HP-21077-01__DHT_10nM	HP-21077-01	GSE201256	V3							25316.6864264062	5353.433816099697	69073.8693162681	64167.681037386326	7466.364095655103	0.0	0.9999750369765132	27324.162344223645	6.824115929462222	4.665982979738598
HP-21077-01__EtOH	HP-21077-01	GSE201256	V3							19774.821721311477	4737.296618852459	52679.881915983606	48919.829149590165	5674.223616803279	0.0	0.9999609028951066	21379.31275614754	5.838214071068437	4.795608783054351
HP-21079-01__DHT_10nM	SAMN18434646	GSE201256	V3							27207.825495958852	5063.714548126378	75121.23622336517	70227.82072005878	7506.408523144746	0.0	0.999976824741868	29296.11535635562	5.534548701055047	4.555663721638977
HP-21079-01__EtOH	SAMN18434646	GSE201256	V3							30533.428890876567	5469.513416815742	90038.86672629695	83941.50670840788	9263.593917710197	0.0	0.9999776867506541	33208.8072450805	5.762483241801364	7.284378980220573
HP-21337-01__18_hr_NMMA	HP-21337-01	GSE251730	V3							12347.263639832125	3349.3151468905	19844.610072491414	18010.912628767644	2286.2846241892407	0.0	0.9999703328512134	13557.4242655475	5.859004496909361	6.789238911115304
HP-21337-01__18hr_IL-1b+IFN-g	HP-21337-01	GSE251730	V3							19997.808749298936	4110.966909702748	34453.2804262479	31287.54514862591	3810.6887268648347	0.0	0.9999770269056952	21834.6932136848	7.190732678920106	5.551255818114621
HP-21337-01__18hr_IL-1b+IFN-g+NMMA	HP-21337-01	GSE251730	V3							14911.63612565445	3647.523560209424	24919.939267015707	22716.457591623035	2651.219895287958	0.0	0.9999776502866395	16508.80157068063	5.696365293683883	6.45378601762403
HP-21337-01__6hr_IFN-g	HP-21337-01	GSE251730	V3							15467.612855740923	3954.5603532875366	26415.179097154072	23972.581452404316	3115.0171736997054	0.0	0.9999805431487632	16895.949460255153	5.3515875586595625	5.653425368013382
HP-21337-01__6hr_IL-1b	HP-21337-01	GSE251730	V3							16384.595146166575	3955.719801434087	27228.856591285163	24618.148924434638	3232.5184776613346	0.0	0.9999783704179595	17727.84225041368	8.32014140619603	5.60397698828814
HP-21337-01__6hr_IL-1b+IFN-g	HP-21337-01	GSE251730	V3							10887.777948520938	3033.3726469458315	16905.72608528621	15413.761429120246	1882.988859008836	0.0	0.9999758949473964	11896.874759892431	5.485960703308041	6.237176651348651
HP-21337-01__Untreated	HP-21337-01	GSE251730	V3							20911.916615194565	4688.169857936999	36583.19085855466	32986.04756022236	4613.5546633724525	0.0	0.9999626649611522	22805.58616429895	7.564530158098211	6.166026748402039
HP-22234-01__18_hr_NMMA	HP-22234-01	GSE251730	V3							14775.839203675345	4053.364471669219	26552.69525267994	23647.278713629403	3576.221286370597	0.0	0.9999665217688036	16425.12633996937	4.831958979075712	5.819475783411894
HP-22234-01__18hr_IL-1b	HP-22234-01	GSE251730	V3							18883.614708233414	4684.867306155076	35107.558752997604	31724.11111111111	4527.525179856115	0.0	0.9999786331880388	20972.48681055156	6.056958535274675	6.018288307453776
HP-22234-01__18hr_IL-1b+IFN-g	HP-22234-01	GSE251730	V3							15605.272327044026	4096.427044025158	28146.974842767297	25363.65974842767	3579.001257861635	0.0	0.9999688397788401	17313.82327044025	5.171605967881886	5.6537889056699155
HP-22234-01__18hr_IL-1b+IFN-g+NMMA	HP-22234-01	GSE251730	V3							13973.664179104477	3902.9425373134327	25046.092537313434	22451.341791044775	3339.3813432835823	0.0	0.9999811920657087	15571.955970149254	6.888209340640826	6.24243538293232
HP-22234-01__6hr_IFN-g	HP-22234-01	GSE251730	V3							17271.288333333334	4344.922777777778	30841.305	27738.028333333332	3970.27	0.0	0.9999789021412531	18862.97	6.614777203087944	5.962031212622729
HP-22234-01__6hr_IL-1b	HP-22234-01	GSE251730	V3							16856.52358208955	4393.004179104478	30727.573731343284	27589.65910447761	4064.717014925373	0.0	0.9999797236741479	18625.310447761192	6.937438371453671	6.198053084151584
HP-22234-01__6hr_IL-1b+IFN-g	HP-22234-01	GSE251730	V3							20458.52460538533	4353.416898792943	41962.11327762303	37675.79944289693	5562.637883008357	0.0	0.9999157179254232	22160.53853296193	12.205648289698278	5.641924396949261
HP-22234-01__Untreated	HP-22234-01	GSE251730	V3							21756.77616501146	5107.682964094729	41858.83957219251	37530.74025974026	5746.2956455309395	0.0	0.9999809124890495	24135.141329258975	5.64829977064736	6.4506852902886855
HP-23135-01__18_hr_NMMA	HP-23135-01	GSE251730	V3							21408.98559514784	4733.840788476118	41509.695223654286	36509.93783169067	6699.107657316149	0.0	0.9999774215888398	23250.159969673994	5.868332115810611	6.515614739630541
HP-23135-01__18hr_IL-1b	HP-23135-01	GSE251730	V3							26497.894882434302	5176.134163208852	51831.13416320885	46047.680497925314	7644.6486860304285	0.0	0.9999683122582126	28489.048409405255	6.713081288371879	6.158294845404897
HP-23135-01__18hr_IL-1b+IFN-g	HP-23135-01	GSE251730	V3							19952.031782065835	4302.030646992054	35659.98637911464	31725.870601589104	5067.4903518728715	0.0	0.9999770783945056	21237.590238365494	7.708896304118169	6.119011687487988
HP-23135-01__18hr_IL-1b+IFN-g+NMMA	HP-23135-01	GSE251730	V3							24679.704838709677	4417.738709677419	52162.72741935484	46372.68870967742	7395.45	0.0	0.9999763325337441	26354.33064516129	9.816731399418059	5.458150907961601
HP-23135-01__6hr_IFN-g	HP-23135-01	GSE251730	V3							11637.739942528735	3596.402298850575	18761.408764367818	16744.83117816092	2859.2866379310344	0.0	0.9999683105397498	12598.343390804597	5.568298063714293	7.497205963994098
HP-23135-01__6hr_IL-1b	HP-23135-01	GSE251730	V3							21378.519154557463	4688.015852047556	39036.51651254954	34704.68824306473	6027.130779392338	0.0	0.9999739608802443	22967.710700132102	6.5131864333473315	6.518170033264109
HP-23135-01__6hr_IL-1b+IFN-g	HP-23135-01	GSE251730	V3							10171.497787610619	3175.7558997050146	16472.87610619469	14766.701327433628	2386.1283185840707	0.0	0.9999686809240189	10966.03244837758	7.795493796813124	7.046127578975255
HP-23135-01__Untreated	HP-23135-01	GSE251730	V3							26292.56555269923	5039.874035989717	53161.75321336761	47035.269922879175	9120.827763496143	0.0	0.9999676192021308	28181.318766066837	8.894158911341139	5.594125718342749
HP18306-01__no_treatment	HP18306-01	GSE221156	V2							9444.598807157057	2754.2799204771372	22674.256461232606	19690.890258449304	3235.1359840954274	0.0	0.999945983379546	10085.553479125248	5.902876914936206	4.314886567612049
HPAP-019	HPAP-019	HPAP	V2							19311.447745901638	3773.3017418032787	194435.18288934426	169418.6731557377	22025.377049180326	0.0	0.9999699911988172	20857.496413934427	7.220099869723954	3.4329442794776655
HPAP-020	HPAP-020	HPAP	V2							20338.851933041053	3808.210840972499	126422.54085292945	100726.25647668394	14807.263053009166	0.0	0.9999720274499329	21566.703467516938	5.615209557860368	3.611081079447272
HPAP-021	HPAP-021	HPAP	V2							18517.01793016672	3882.757785467128	129134.25542623467	88564.74992135892	18400.297892419	0.0	0.9999559687420646	19907.15759672853	8.018727176643912	3.5158889856644855
HPAP-022	HPAP-022	HPAP	V2							17001.741633858266	4028.6806102362207	110592.4030511811	95466.15501968504	13238.092519685038	0.0	0.9999537157320131	18854.554133858266	9.611807318392476	3.8078043383942823
HPAP-022__rep1__no_treatment	HPAP-022	GSE183568	V2							5266.659130434783	1980.3179130434783	47486.49043478261	42094.93356521739	4874.856	0.0	0.9998429881386135	5955.047652173913	10.195109880258721	3.841113294446585
HPAP-022__rep2__no_treatment	HPAP-022	GSE183568	V2							6423.891144557228	2466.6569828491424	53807.84564228211	47677.05670283514	5339.485124256213	0.0	0.9998625687756737	7217.500875043752	10.085975877610462	3.8373179891796734
HPAP-022__rep3__no_treatment	HPAP-022	GSE183568	V2							6660.299558080808	2503.1338383838383	50024.83648989899	44133.07638888889	4985.006944444444	0.0	0.999910014051229	7485.624053030303	10.63029442882214	3.7530631362667863
HPAP-023	HPAP-023	HPAP	V2							11988.17438692098	3493.207084468665	828881.7983651226	718187.9400544959	111662.34877384196	0.0	0.9999442763159645	12778.945504087193	7.56300553533038	3.452405991549018
HPAP-024	HPAP-024	HPAP	V2							26684.71893491124	2977.8767258382645	346847.23767258384	301470.8047337278	40634.86489151874	0.0	0.999971478178186	27734.184418145956	5.474679632171693	3.3316126178067966
HPAP-026	HPAP-026	HPAP	V2							7120.803680981595	1214.6196319018404	876690.1104294478	799636.4662576687	86545.14110429448	0.0	0.9999499522103854	7420.582822085889	20.32094155534809	2.2374881918099363
HPAP-028	HPAP-028	HPAP	V2							9416.950185873606	2042.6475836431227	122435.58252788104	105833.2249070632	18996.315241635686	0.0	0.9999042203878381	10097.358364312267	8.82709869468226	2.758565387790074
HPAP-029	HPAP-029	HPAP	V2							11433.920329670329	3097.129120879121	137493.934981685	115609.07417582418	16122.920329670329	0.0	0.9999666217264238	12774.554029304029	11.025028925465824	3.640726582173845
HPAP-032	HPAP-032	HPAP	V2							16536.24926686217	2881.173753665689	291993.50879765395	250738.8900293255	40576.117302052786	0.0	0.9999604496962863	17463.50586510264	8.062480426253295	2.0436867970641597
HPAP-034	HPAP-034	HPAP	V2							20999.88679245283	3009.822641509434	709920.320754717	609597.2377358491	88215.07169811321	0.0	0.9999521406191699	22160.309433962266	7.612319531677072	2.9160666211429294
HPAP-035	HPAP-035	HPAP	V2							12821.349046015712	2658.3019079685746	152460.89786756455	127968.1167227834	16113.589225589225	0.0	0.9999215736667448	13908.405162738496	11.467719666441022	4.002003175736611
HPAP-036	HPAP-036	HPAP	V2							15725.54623655914	2401.095698924731	169304.74193548388	144543.86666666667	18360.46129032258	0.0	0.9999334541700219	16746.709677419356	11.885643926430065	3.7472160624268978
HPAP-037	HPAP-037	HPAP	V2							19810.166666666668	2567.9504504504503	89252.8445945946	74529.67511261262	11777.98536036036	0.0	0.9999520442037432	20861.197635135137	4.1317696341901	3.696851916948606
HPAP-038	HPAP-038	HPAP	V3							47605.867007672634	5834.281329923274	166796.4411764706	137362.9641943734	12696.525575447571	0.0	0.9999777820256665	52156.782608695656	2.7021413668243843	7.633754777315516
HPAP-039	HPAP-039	HPAP	V3							14968.437731653077	3245.5500370644922	28875.66234247591	25060.037064492215	4183.92290585619	0.0	0.9999338126429987	16211.368791697554	5.485081656710763	6.669894763182884
HPAP-040	HPAP-040	HPAP	V3							22211.13204951857	4229.773039889958	46034.40921595598	40846.24690508941	5210.597661623108	0.0	0.9999731018257928	23934.17537826685	5.705560473607353	7.046795350014659
HPAP-042	HPAP-042	HPAP	V3							19320.379918588875	3136.0522388059703	37936.679782903666	33157.52306648575	5429.79104477612	0.0	0.999956612226274	20210.505427408414	6.170835080653028	4.073016818470551
HPAP-043	HPAP-043	HPAP	V3							35067.5	3730.140762463343	84524.22873900294	73926.57478005865	10279.771260997068	0.0	0.9999751224895377	37483.7008797654	5.545205652605376	6.693583227428598
HPAP-044	HPAP-044	HPAP	V3							23272.329004329004	4272.0	42392.731601731604	36950.45516388374	5806.811997526283	0.0	0.9999647621910883	25221.277056277057	3.7866515908154477	5.819635739401176
HPAP-045	HPAP-045	HPAP	V3							16799.31054131054	3450.5754985754984	39102.68304843305	34528.16168091168	4363.8376068376065	0.0	0.9999474053963636	18526.754985754986	17.64777046555699	6.984729571129911
HPAP-047	HPAP-047	HPAP	V3							15592.501538461538	2596.516153846154	23797.492307692308	21486.923846153844	3566.7615384615383	0.0	0.9999456375837326	16327.432307692308	6.242673299684852	4.625114132941257
HPAP-049	HPAP-049	HPAP	V3							17843.968514715947	3939.737850787132	39689.97262149213	36219.82477754962	5164.030116358658	0.0	0.9999552433985215	19678.45927446954	5.912224412880686	6.024270667120494
HPAP-050	HPAP-050	HPAP	V3							14500.571736785329	3047.339805825243	28972.7238403452	26047.88241639698	4512.165048543689	0.0	0.9999690134934237	15540.19309600863	5.2762707264686535	6.369164162841814
HPAP-051	HPAP-051	HPAP	V3							29316.84491114701	5280.226171243942	105302.84168012925	95880.47819063005	13299.878836833603	0.0	0.9999694356240441	32230.09208400646	11.109989810966837	4.145815093007503
HPAP-052	HPAP-052	HPAP	V3							28621.581839904422	4563.1756272401435	77327.77658303465	71232.32497013142	8880.755077658303	0.0	0.9999686416189587	31343.712066905617	10.284271308767462	4.103603586964146
HPAP-053	HPAP-053	HPAP	V3							18328.227467811157	3650.497854077253	42875.609442060086	39180.93025751073	4648.154506437768	0.0	0.9999636724399394	19905.855150214593	15.799217142870274	6.775799112121487
HPAP-054	HPAP-054	HPAP	V3							15624.348046309697	3505.4811866859623	30711.52387843705	28167.908104196817	3683.9696092619392	0.0	0.9999609570168552	16922.39507959479	4.674708395761492	4.718599030150365
HPAP-055	HPAP-055	HPAP	V3							16742.748687171792	4058.7419354838707	40345.58739684921	36869.54838709677	5314.243810952738	0.0	0.9999652775444666	18380.94448612153	5.633037435113819	5.8179528083960985
HPAP-056	HPAP-056	HPAP	V3							19191.12609238452	3589.6704119850187	41531.47066167291	37991.031210986264	4864.228464419476	0.0	0.999962705053789	20892.92759051186	13.659813417992666	6.79624689855857
HPAP-057	HPAP-057	HPAP	V3							22663.81045751634	4863.14705882353	61703.89215686275	56920.82679738562	6693.385620915033	0.0	0.9999766832862804	24987.787581699347	12.016751832457409	4.226969693157803
HPAP-058	HPAP-058	HPAP	V3							19378.724815724814	3340.7321867321866	45631.1425061425	41799.528255528254	5245.606879606879	0.0	0.9999482163779565	20985.91891891892	13.45506432712238	5.6897692238588
HPAP-059	HPAP-059	HPAP	V3							27431.151399491093	4368.81679389313	57873.78880407125	52092.60941475827	8741.507633587786	0.0	0.9999753323220114	29947.987277353688	5.931776507718895	5.679957192723521
HPAP-061	HPAP-061	HPAP	V3							18932.453846153847	3646.575824175824	46861.826373626376	42300.415384615386	7177.520879120879	0.0	0.9999450153046912	21631.527472527472	15.875149031192084	4.723984596366966
HPAP-063	HPAP-063	HPAP	V3							15354.375946173255	2773.0294365012614	33904.736753574434	31627.995794785533	4087.594617325484	0.0	0.9999353111141163	16942.603027754416	13.828935931251303	5.571562822960978
HPAP-064	HPAP-064	HPAP	V3							20809.380352644836	4509.3711167086485	44573.55247691016	40296.09823677582	6629.899244332493	0.0	0.9999637500665249	23347.96389588581	5.822175388272609	3.849083163292478
HPAP-065	HPAP-065	HPAP	V3							28848.30649717514	4766.7683615819205	56088.96186440678	50399.89971751413	9130.912429378532	0.0	0.999978342298734	30776.87429378531	6.78892259585558	5.53499506290455
